Weather_ID,City,Date,Daily_high_temperature,Daily_low_temperature,Rain_mm,Snow_cm
4019073,York,2020-09-07,6.7,0.0,,
4019073,York,2020-09-08,10.9,-2.6,,
4019073,York,2020-09-09,19.9,5.7,,
4019073,York,2020-09-10,22.6,3.3,,
4019073,York,2020-09-11,25.2,8.4,,
4019073,York,2020-09-12,16.1,6.5,,
4019073,York,2020-09-13,13.1,-0.1,,
4019073,York,2020-09-14,14.1,2.6,,
4019073,York,2020-09-15,15.3,3.8,,
4019073,York,2020-09-16,11.5,0.0,,
4019073,York,2020-09-17,5.3,-2.6,,
4019073,York,2020-09-18,17.7,2.2,,
4019073,York,2020-09-19,24.9,4.5,,
4019073,York,2020-09-20,22.7,11.4,,
4019073,York,2020-09-21,21.9,8.7,,
4019073,York,2020-09-22,24.8,8.0,,
4019073,York,2020-09-23,15.5,6.9,,
4019073,York,2020-09-24,23.0,6.0,,
4019073,York,2020-09-25,22.8,7.2,,
4019073,York,2020-09-26,16.3,9.5,,
4019073,York,2020-09-27,12.6,8.0,,
4019073,York,2020-09-28,15.0,4.2,,
4019073,York,2020-09-29,18.7,6.5,,
4019073,York,2020-09-30,9.8,3.5,,
4019073,York,2020-10-01,7.8,-1.0,,
4019073,York,2020-10-02,10.4,1.8,,
4019073,York,2020-10-03,10.2,-3.3,,
4019073,York,2020-10-04,19.3,2.8,,
4019073,York,2020-10-05,16.8,9.8,,
4019073,York,2020-10-06,16.7,4.2,,
4019073,York,2020-10-07,13.0,1.4,,
4019073,York,2020-10-08,19.0,0.4,,
4019073,York,2020-10-09,10.7,-0.1,,
4019073,York,2020-10-10,16.9,-1.6,,
4019073,York,2020-10-11,13.4,4.2,,
4019073,York,2020-10-12,11.9,-0.7,,
4019073,York,2020-10-13,10.7,0.3,,
4019073,York,2020-10-14,5.1,-6.6,,
4019073,York,2020-10-15,2.6,-7.8,,
4019073,York,2020-10-16,2.3,-10.0,,
4019073,York,2020-10-17,-2.6,-12.0,,
4019073,York,2020-10-18,-3.1,-6.5,,
4019073,York,2020-10-19,0.3,-7.4,,
4019073,York,2020-10-20,-2.3,-10.4,,
4019073,York,2020-10-21,-0.3,-10.8,,
4019073,York,2020-10-22,-1.7,-13.8,,
4019073,York,2020-10-23,-3.8,-12.7,,
4019073,York,2020-10-24,-4.5,-7.6,,
4019073,York,2020-10-25,-2.8,-10.3,,
4019073,York,2020-10-26,-3.0,-13.5,,
4019073,York,2020-10-27,5.7,-8.3,,
4019073,York,2020-10-28,3.2,-3.9,,
4019073,York,2020-10-29,0.3,-4.7,,
4019073,York,2020-10-30,6.1,-2.8,,
4019073,York,2020-10-31,7.4,-8.2,,
4019073,York,2020-11-01,8.8,-10.6,,
4019073,York,2020-11-02,18.4,0.8,,
4019073,York,2020-11-03,17.5,-0.4,,
4019073,York,2020-11-04,14.4,-2.2,,
4019073,York,2020-11-05,20.5,-2.2,,
4019073,York,2020-11-06,0.6,-5.9,,
4019073,York,2020-11-07,1.7,-5.3,,
4019073,York,2020-11-08,-1.9,-8.7,,
4019073,York,2020-11-09,-8.3,-18.4,,
4019073,York,2020-11-10,-8.3,-19.6,,
4019073,York,2020-11-11,-9.2,-13.5,,
4019073,York,2020-11-12,-13.4,-20.0,,
4019073,York,2020-11-13,-1.2,-16.1,,
4019073,York,2020-11-14,0.1,-8.8,,
4019073,York,2020-11-15,-5.2,-9.1,,
4019073,York,2020-11-16,-6.6,-15.5,,
4019073,York,2020-11-17,-5.5,-9.1,,
4019073,York,2020-11-18,6.3,-5.8,,
4019073,York,2020-11-19,-3.9,-11.1,,
4019073,York,2020-11-20,-10.1,-15.6,,
4019073,York,2020-11-21,-4.1,-16.5,,
4019073,York,2020-11-22,,,,
4019073,York,2020-11-23,-5.2,-12.1,,
4019073,York,2020-11-24,-5.4,-10.6,,
4019073,York,2020-11-25,3.6,-8.5,,
4019073,York,2020-11-26,-1.1,-12.5,,
4019073,York,2020-11-27,2.8,-11.5,,
4019073,York,2020-11-28,-0.4,-9.1,,
4019073,York,2020-11-29,-3.4,-13.3,,
4019073,York,2020-11-30,1.3,-10.6,,
4019073,York,2020-12-01,2.8,-6.2,,
4019073,York,2020-12-02,1.1,-8.6,,
4019073,York,2020-12-03,3.5,-8.7,,
4019073,York,2020-12-04,2.8,-9.0,,
4019073,York,2020-12-05,5.2,-5.2,,
4019073,York,2020-12-06,4.8,-7.0,,
4019073,York,2020-12-07,2.8,-8.3,,
4019073,York,2020-12-08,4.7,-2.5,,
4019073,York,2020-12-09,2.2,-4.5,,
4019073,York,2020-12-10,-1.8,-9.3,,
4019073,York,2020-12-11,-5.9,-11.9,,
4019073,York,2020-12-12,-4.4,-7.0,,
4019073,York,2020-12-13,-5.2,-26.7,,
4019073,York,2020-12-14,-15.8,-28.7,,
4019073,York,2020-12-15,-9.4,-15.9,,
4019073,York,2020-12-16,-6.3,-15.5,,
4019073,York,2020-12-17,2.2,-18.0,,
4019073,York,2020-12-18,-1.3,-19.4,,
4019073,York,2020-12-19,3.5,-17.1,,
4019073,York,2020-12-20,-2.4,-12.2,,
4019073,York,2020-12-21,-3.1,-12.0,,
4019073,York,2020-12-22,-7.8,-20.1,,
4019073,York,2020-12-23,-17.9,-24.0,,
4019073,York,2020-12-24,-5.2,-18.0,,
4019073,York,2020-12-25,-1.3,-13.1,,
4019073,York,2020-12-26,-7.6,-14.6,,
4019073,York,2020-12-27,-7.1,-16.9,,
4019073,York,2020-12-28,-7.2,-19.2,,
4019073,York,2020-12-29,-6.1,-10.2,,
4019073,York,2020-12-30,-8.1,-14.1,,
4019073,York,2020-12-31,-13.8,-21.3,,
6158355,Toronto,2020-09-01,28.2,20.1,,
6158355,Toronto,2020-09-02,27.7,19.0,,
6158355,Toronto,2020-09-03,27.4,15.6,,
6158355,Toronto,2020-09-04,23.9,14.5,,
6158355,Toronto,2020-09-05,22.0,12.9,,
6158355,Toronto,2020-09-06,22.1,11.6,,
6158355,Toronto,2020-09-07,24.3,16.5,,
6158355,Toronto,2020-09-08,17.2,15.0,,
6158355,Toronto,2020-09-09,19.2,14.5,,
6158355,Toronto,2020-09-10,20.7,14.1,,
6158355,Toronto,2020-09-11,16.5,11.9,,
6158355,Toronto,2020-09-12,21.0,12.0,,
6158355,Toronto,2020-09-13,26.1,15.8,,
6158355,Toronto,2020-09-14,17.8,9.6,,
6158355,Toronto,2020-09-15,18.7,9.3,,
6158355,Toronto,2020-09-16,23.0,14.4,,
6158355,Toronto,2020-09-17,19.4,10.4,,
6158355,Toronto,2020-09-18,16.1,7.7,,
6158355,Toronto,2020-09-19,14.4,6.5,,
6158355,Toronto,2020-09-20,16.7,9.3,,
6158355,Toronto,2020-09-21,18.9,9.1,,
6158355,Toronto,2020-09-22,20.7,9.5,,
6158355,Toronto,2020-09-23,27.1,12.5,,
6158355,Toronto,2020-09-24,24.3,14.0,,
6158355,Toronto,2020-09-25,23.1,15.9,,
6158355,Toronto,2020-09-26,24.6,14.1,,
6158355,Toronto,2020-09-27,24.7,19.4,,
6158355,Toronto,2020-09-28,26.0,15.4,,
6158355,Toronto,2020-09-29,18.6,13.3,,
6158355,Toronto,2020-09-30,18.8,11.2,,
6158355,Toronto,2020-10-01,17.8,9.5,,
6158355,Toronto,2020-10-02,14.9,6.8,,
6158355,Toronto,2020-10-03,12.8,4.9,,
6158355,Toronto,2020-10-04,11.9,7.7,,
6158355,Toronto,2020-10-05,15.2,8.1,,
6158355,Toronto,2020-10-06,17.2,8.6,,
6158355,Toronto,2020-10-07,18.7,10.0,,
6158355,Toronto,2020-10-08,13.3,6.9,,
6158355,Toronto,2020-10-09,16.5,6.0,,
6158355,Toronto,2020-10-10,22.4,10.0,,
6158355,Toronto,2020-10-11,10.9,6.8,,
6158355,Toronto,2020-10-12,16.0,8.3,,
6158355,Toronto,2020-10-13,17.9,11.0,,
6158355,Toronto,2020-10-14,16.2,8.4,,
6158355,Toronto,2020-10-15,16.1,9.1,,
6158355,Toronto,2020-10-16,11.9,5.4,,
6158355,Toronto,2020-10-17,13.8,5.3,,
6158355,Toronto,2020-10-18,14.1,7.0,,
6158355,Toronto,2020-10-19,8.4,6.7,,
6158355,Toronto,2020-10-20,11.3,6.4,,
6158355,Toronto,2020-10-21,17.4,8.9,,
6158355,Toronto,2020-10-22,12.5,8.8,,
6158355,Toronto,2020-10-23,22.8,9.3,,
6158355,Toronto,2020-10-24,9.3,3.8,,
6158355,Toronto,2020-10-25,7.3,3.1,,
6158355,Toronto,2020-10-26,8.6,3.9,,
6158355,Toronto,2020-10-27,,,,
6158355,Toronto,2020-10-28,,,,
6158355,Toronto,2020-10-29,10.7,2.9,,
6158355,Toronto,2020-10-30,3.3,-1.9,,
6158355,Toronto,2020-10-31,8.6,-2.8,,
6158355,Toronto,2020-11-01,12.0,0.5,,
6158355,Toronto,2020-11-02,7.7,-1.1,,
6158355,Toronto,2020-11-03,7.7,4.6,,
6158355,Toronto,2020-11-04,16.8,5.2,,
6158355,Toronto,2020-11-05,17.0,10.7,,
6158355,Toronto,2020-11-06,18.2,9.6,,
6158355,Toronto,2020-11-07,19.3,10.5,,
6158355,Toronto,2020-11-08,19.1,8.5,,
6158355,Toronto,2020-11-09,20.0,10.0,,
6158355,Toronto,2020-11-10,21.6,10.3,,
6158355,Toronto,2020-11-11,18.3,6.6,,
6158355,Toronto,2020-11-12,9.4,5.1,,
6158355,Toronto,2020-11-13,9.6,5.0,,
6158355,Toronto,2020-11-14,8.1,2.9,,
6158355,Toronto,2020-11-15,12.9,4.1,,
6158355,Toronto,2020-11-16,5.0,3.0,,
6158355,Toronto,2020-11-17,4.1,-4.6,,
6158355,Toronto,2020-11-18,3.8,-4.8,,
6158355,Toronto,2020-11-19,15.1,3.4,,
6158355,Toronto,2020-11-20,17.2,7.2,,
6158355,Toronto,2020-11-21,7.4,1.6,,
6158355,Toronto,2020-11-22,3.0,0.4,,
6158355,Toronto,2020-11-23,4.3,-0.4,,
6158355,Toronto,2020-11-24,3.0,-0.7,,
6158355,Toronto,2020-11-25,8.3,1.8,,
6158355,Toronto,2020-11-26,11.8,6.9,,
6158355,Toronto,2020-11-27,8.2,6.3,,
6158355,Toronto,2020-11-28,7.6,3.7,,
6158355,Toronto,2020-11-29,10.1,3.1,,
6158355,Toronto,2020-11-30,7.2,0.0,,
6158355,Toronto,2020-12-01,0.4,-1.9,,
6158355,Toronto,2020-12-02,4.8,-0.8,,
6158355,Toronto,2020-12-03,5.7,0.8,,
6158355,Toronto,2020-12-04,4.7,1.4,,
6158355,Toronto,2020-12-05,2.5,-3.4,,
6158355,Toronto,2020-12-06,1.1,-4.5,,
6158355,Toronto,2020-12-07,1.1,-4.9,,
6158355,Toronto,2020-12-08,2.5,-5.2,,
6158355,Toronto,2020-12-09,4.7,0.4,,
6158355,Toronto,2020-12-10,6.2,2.5,,
6158355,Toronto,2020-12-11,9.5,2.9,,
6158355,Toronto,2020-12-12,9.4,3.9,,
6158355,Toronto,2020-12-13,7.2,0.4,,
6158355,Toronto,2020-12-14,2.5,-1.8,,
6158355,Toronto,2020-12-15,-1.7,-6.9,,
6158355,Toronto,2020-12-16,-4.8,-7.1,,
6158355,Toronto,2020-12-17,-2.9,-7.2,,
6158355,Toronto,2020-12-18,0.4,-7.0,,
6158355,Toronto,2020-12-19,3.0,0.3,,
6158355,Toronto,2020-12-20,5.3,1.5,,
6158355,Toronto,2020-12-21,4.6,0.2,,
6158355,Toronto,2020-12-22,4.1,0.5,,
6158355,Toronto,2020-12-23,8.2,1.7,,
6158355,Toronto,2020-12-24,9.5,-2.2,,
6158355,Toronto,2020-12-25,0.2,-4.7,,
6158355,Toronto,2020-12-26,-1.4,-4.6,,
6158355,Toronto,2020-12-27,4.7,-2.6,,
6158355,Toronto,2020-12-28,5.2,-1.9,,
6158355,Toronto,2020-12-29,-0.5,-4.0,,
6158355,Toronto,2020-12-30,5.6,-2.3,,
6158355,Toronto,2020-12-31,2.5,-1.0,,
